Date,Open,High,Low,Close,Volume
2025-12-01,487.33,488.74,483.55,485.63,23964000
2025-12-02,485.61,492.38,485.21,488.88,19562700
2025-12-03,475.24,483.14,474.12,476.64,34615100
2025-12-04,478.67,480.22,475.4,479.74,22318200
2025-12-05,481.42,482.3,477.79,482.06,22608700
2025-12-08,483.79,491.18,483.28,489.9,21965900
2025-12-09,487.99,491.0,487.39,490.9,14696100
2025-12-10,482.93,483.15,474.0,477.47,35756200
2025-12-11,475.54,484.92,474.78,482.37,24669200
2025-12-12,478.73,481.35,475.26,477.44,21248100
